This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    42134
Number of nonzeros in inequality constraint Jacobian.:    11192
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    12964
                     variables with only lower bounds:     4100
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     9300
Total number of inequality constraints...............:     3204
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     3204

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  46  3.3370358e+01 3.68e-05 2.83e+03  -3.5 1.47e-02    -  7.92e-01 9.87e-01f  1
  47  3.0409741e+01 9.49e-06 1.75e+00  -3.6 9.73e-03    -  1.00e+00 1.00e+00f  1
  48  2.9991700e+01 1.31e-05 1.07e+00  -3.6 8.81e-03    -  1.00e+00 1.00e+00f  1
  49  2.7257517e+01 5.80e-06 3.18e+03  -3.8 7.49e-03    -  1.00e+00 7.03e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.4415511e+01 1.60e-05 1.70e+03  -4.0 2.21e-02    -  1.00e+00 7.77e-01f  1
  51  2.7845955e+01 5.93e-05 1.31e+03  -3.7 1.72e-02    -  8.65e-01 1.00e+00f  1
  52  2.5654917e+01 1.36e-05 1.79e+00  -3.8 6.85e-03    -  1.00e+00 1.00e+00f  1
  53  2.4471235e+01 3.41e-06 2.95e+02  -3.9 3.78e-03    -  1.00e+00 8.74e-01f  1
  54  2.3049859e+01 2.21e-06 3.30e-01  -4.0 6.64e-03    -  1.00e+00 1.00e+00f  1
  55  2.5006235e+01 9.39e-05 2.80e+03  -3.7 7.19e-02    -  8.55e-01 5.09e-01f  1
  56  2.4321475e+01 9.85e-05 5.24e+02  -3.9 4.27e-02    -  1.00e+00 7.10e-01f  1
  57  2.3586693e+01 9.34e-05 5.46e+00  -3.9 2.40e-02    -  3.37e-01 1.00e+00f  1
  58  2.3132230e+01 2.36e-05 8.99e-01  -3.9 1.31e-02    -  1.00e+00 9.90e-01f  1
  59  2.3051425e+01 6.15e-06 6.74e-01  -3.9 5.89e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.1923039e+01 4.49e-06 4.49e-01  -4.0 9.73e-03    -  1.00e+00 1.00e+00f  1
  61  2.1753111e+01 7.59e-06 3.85e+00  -4.0 2.97e-02    -  1.00e+00 4.03e-01f  2
  62  2.1703314e+01 1.36e-05 1.11e+01  -4.0 3.02e-02    -  1.00e+00 5.00e-01f  2
  63  2.1623656e+01 7.28e-06 5.56e+00  -4.0 1.11e-02    -  1.00e+00 5.00e-01f  2
  64  2.1527162e+01 1.42e-05 8.24e-01  -4.0 1.04e-02    -  1.00e+00 1.00e+00f  1
  65  2.1465565e+01 7.26e-06 1.15e+00  -4.0 9.34e-03    -  1.00e+00 1.00e+00h  1
  66  2.1378450e+01 6.33e-06 6.75e-01  -4.0 1.10e-02    -  1.00e+00 7.93e-01f  1
  67  2.1322214e+01 3.45e-06 2.97e+00  -4.0 5.66e-03    -  1.00e+00 5.00e-01f  2
  68  2.1286272e+01 1.23e-06 2.94e-01  -4.0 2.89e-03    -  1.00e+00 1.00e+00h  1
  69  2.1277339e+01 1.53e-06 3.23e-01  -4.0 4.76e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  2.1265360e+01 9.66e-06 5.65e-01  -4.0 1.37e-02    -  1.00e+00 1.00e+00f  1
  71  2.1228065e+01 7.22e-06 4.05e+00  -4.0 4.89e-02    -  1.00e+00 2.01e-01f  3
  72  2.5303695e+01 1.33e-04 9.09e+02  -3.7 4.06e-02    -  1.00e+00 8.86e-01f  1
  73  2.3262415e+01 4.45e-05 8.69e-01  -3.8 1.61e-02    -  1.00e+00 1.00e+00f  1
  74  2.3021088e+01 2.08e-05 1.27e+00  -3.8 7.47e-03    -  1.00e+00 1.00e+00f  1
  75  2.2985584e+01 9.80e-06 3.24e-01  -3.8 7.46e-03    -  1.00e+00 1.00e+00f  1
  76  2.3018675e+01 7.92e-07 3.29e-01  -3.8 2.75e-03    -  1.00e+00 1.00e+00h  1
  77  2.1303554e+01 3.62e-06 4.25e-01  -4.0 5.08e-03    -  1.00e+00 1.00e+00f  1
  78  2.0316285e+01 8.99e-06 7.06e-01  -4.1 7.18e-03    -  1.00e+00 1.00e+00f  1
  79  2.1110011e+01 4.13e-06 3.80e-01  -4.0 4.40e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  2.1122584e+01 1.11e-06 3.00e-01  -4.0 3.64e-03    -  1.00e+00 1.00e+00h  1
  81  2.1079865e+01 1.34e-06 1.94e-01  -4.0 4.82e-03    -  1.00e+00 1.00e+00h  1
  82  2.1049551e+01 5.42e-06 2.20e+00  -4.0 2.74e-02    -  1.00e+00 5.00e-01f  2
  83  2.1043946e+01 6.05e-06 5.76e+00  -4.0 5.46e-02    -  1.00e+00 2.04e-01h  3
  84  2.1026167e+01 1.24e-05 5.56e+00  -4.0 4.45e-02    -  1.00e+00 5.00e-01h  2
  85  2.4961497e+01 7.58e-05 4.59e+03  -3.6 1.32e-01    -  9.00e-01 5.48e-01f  1
  86  2.3727167e+01 5.44e-05 2.89e+00  -3.8 2.12e-02    -  1.00e+00 1.00e+00f  1
  87  2.3094719e+01 1.39e-05 1.01e+00  -3.8 2.05e-02    -  9.65e-01 1.00e+00f  1
  88  2.3230766e+01 1.72e-06 3.62e-01  -3.8 1.06e-02    -  1.00e+00 1.00e+00h  1
  89  2.3245098e+01 7.35e-07 2.52e-01  -3.8 5.54e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  2.3241527e+01 2.36e-06 3.01e-01  -3.8 4.91e-03    -  1.00e+00 1.00e+00h  1
  91  2.3248415e+01 7.39e-07 2.96e-01  -3.8 4.00e-03    -  1.00e+00 1.00e+00h  1
  92  2.3302137e+01 1.40e-07 5.47e-01  -3.8 1.19e-02    -  1.00e+00 1.00e+00H  1
  93  2.1099187e+01 7.83e-06 6.54e-01  -4.0 1.08e-02    -  1.00e+00 1.00e+00f  1
  94  2.0144506e+01 1.16e-05 9.45e-01  -4.1 8.16e-03    -  1.00e+00 1.00e+00f  1
  95  2.0935702e+01 6.80e-06 4.73e-01  -4.0 8.69e-03    -  1.00e+00 1.00e+00f  1
  96  2.0916797e+01 8.88e-06 4.31e-01  -4.0 7.91e-03    -  1.00e+00 1.00e+00h  1
  97  2.0851283e+01 1.77e-06 6.14e-01  -4.0 6.75e-03    -  1.00e+00 1.00e+00h  1
  98  2.0815079e+01 1.46e-06 5.39e-01  -4.0 5.96e-03    -  1.00e+00 1.00e+00h  1
  99  2.0810525e+01 4.67e-07 8.70e-01  -4.0 1.53e-02    -  1.00e+00 1.00e+00F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  2.0764143e+01 1.17e-05 1.87e+00  -4.0 1.97e-02    -  1.00e+00 1.00e+00f  1
 101  2.0716707e+01 7.05e-06 2.06e+01  -4.0 3.93e-02    -  1.00e+00 2.93e-01f  2
 102  2.0668223e+01 2.43e-06 5.85e-01  -4.0 3.95e-03    -  1.00e+00 1.00e+00h  1
 103  2.0647702e+01 5.14e-07 1.06e-01  -4.0 1.34e-03    -  1.00e+00 1.00e+00h  1
 104  2.0638306e+01 1.48e-07 5.91e-02  -4.0 1.79e-03    -  1.00e+00 1.00e+00h  1
 105  2.0615794e+01 2.30e-06 3.88e-01  -4.0 7.28e-03    -  1.00e+00 1.00e+00h  1
 106  2.0696006e+01 1.10e-07 1.00e+00  -4.0 1.24e-02    -  1.00e+00 1.00e+00H  1
 107  1.9770846e+01 7.16e-06 5.67e-01  -4.1 5.07e-03    -  1.00e+00 1.00e+00f  1
 108  2.0518881e+01 2.54e-06 4.32e-01  -4.0 7.34e-03    -  1.00e+00 1.00e+00f  1
 109  2.0600824e+01 9.10e-07 4.03e-01  -4.0 3.68e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  2.0568066e+01 4.32e-07 1.50e-01  -4.0 1.75e-03    -  1.00e+00 1.00e+00h  1
 111  2.0565073e+01 4.23e-07 2.22e-01  -4.0 1.39e-03    -  1.00e+00 1.00e+00h  1
 112  2.0572902e+01 3.56e-08 5.29e-02  -4.0 6.17e-04    -  1.00e+00 1.00e+00h  1
 113  2.0576970e+01 2.20e-07 1.20e-01  -4.0 2.58e-03    -  1.00e+00 1.00e+00h  1
 114  1.9714968e+01 2.59e-05 8.92e-01  -4.1 2.08e-02    -  1.00e+00 1.00e+00f  1
 115  2.0706880e+01 1.81e-05 1.03e+00  -4.0 1.20e-02    -  1.00e+00 1.00e+00f  1
 116  1.9787730e+01 1.98e-05 6.72e-01  -4.1 1.44e-02    -  1.00e+00 1.00e+00f  1
 117  1.9705967e+01 1.54e-05 3.65e+00  -4.1 1.71e-02    -  1.00e+00 2.50e-01h  3
 118  2.0477292e+01 2.84e-06 2.70e-01  -4.0 6.71e-03    -  1.00e+00 1.00e+00f  1
 119  2.0625845e+01 2.77e-07 6.96e-01  -4.0 9.43e-03    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.9603838e+01 2.54e-06 3.33e-01  -4.1 3.28e-03    -  1.00e+00 1.00e+00f  1
 121  2.0426388e+01 6.13e-07 2.58e-01  -4.0 1.81e-03    -  1.00e+00 1.00e+00f  1
 122  2.0477999e+01 5.08e-07 1.61e-01  -4.0 1.69e-03    -  1.00e+00 1.00e+00h  1
 123  2.0475263e+01 5.59e-08 8.36e-02  -4.0 1.19e-03    -  1.00e+00 1.00e+00h  1
 124  2.0494935e+01 3.33e-07 1.27e-01  -4.0 1.49e-03    -  1.00e+00 1.00e+00h  1
 125  1.9621490e+01 1.40e-06 3.14e-01  -4.1 2.88e-03    -  1.00e+00 1.00e+00f  1
 126  2.0512587e+01 6.78e-07 1.75e-01  -4.0 2.14e-03    -  1.00e+00 1.00e+00f  1
 127  1.9650477e+01 2.21e-06 5.34e-01  -4.1 2.18e-03    -  1.00e+00 1.00e+00f  1
 128  1.9608374e+01 4.36e-07 1.08e-01  -4.1 1.35e-03    -  1.00e+00 1.00e+00h  1
 129  2.0490228e+01 4.41e-07 1.73e-01  -4.0 2.10e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.9600430e+01 1.04e-06 2.45e-01  -4.1 4.19e-03    -  1.00e+00 1.00e+00f  1
 131  2.0533408e+01 1.82e-06 3.97e-01  -4.0 3.02e-03    -  1.00e+00 1.00e+00f  1
 132  1.9589139e+01 1.36e-06 2.72e-01  -4.1 2.14e-03    -  1.00e+00 1.00e+00f  1
 133  2.0516322e+01 1.56e-06 4.20e-01  -4.0 2.00e-03    -  1.00e+00 1.00e+00f  1
 134  1.9584855e+01 1.42e-06 1.55e-01  -4.1 3.30e-03    -  1.00e+00 1.00e+00f  1
 135  2.0529753e+01 1.16e-06 2.99e-01  -4.0 2.52e-03    -  1.00e+00 1.00e+00f  1
 136  1.9574012e+01 1.47e-06 2.56e-01  -4.1 2.98e-03    -  1.00e+00 1.00e+00f  1
 137  2.0527062e+01 1.52e-06 3.35e-01  -4.0 2.69e-03    -  1.00e+00 1.00e+00f  1
 138  1.9564043e+01 1.13e-06 1.74e-01  -4.1 2.45e-03    -  1.00e+00 1.00e+00f  1
 139  2.0544517e+01 1.86e-06 3.19e-01  -4.0 2.97e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.9568878e+01 1.39e-06 1.44e-01  -4.1 2.82e-03    -  1.00e+00 1.00e+00f  1
 141  1.9602380e+01 1.51e-06 4.23e-01  -4.1 2.73e-03    -  1.00e+00 1.00e+00h  1
 142  2.0489154e+01 1.45e-06 9.13e-02  -4.0 3.03e-03    -  1.00e+00 1.00e+00f  1
 143  1.9563893e+01 1.30e-06 2.89e-01  -4.1 2.62e-03    -  1.00e+00 1.00e+00f  1
 144  2.0503850e+01 1.35e-06 1.09e-01  -4.0 2.68e-03    -  1.00e+00 1.00e+00f  1
 145  2.0065539e+01 1.54e-06 9.96e+02  -4.1 3.54e-03    -  1.00e+00 5.00e-01f  2
 146  1.9574651e+01 9.05e-07 5.32e-02  -4.1 1.96e-03    -  1.00e+00 1.00e+00h  1
 147  2.0520242e+01 7.70e-07 2.30e-01  -4.0 2.71e-03    -  1.00e+00 1.00e+00f  1
 148  1.9572577e+01 1.32e-06 1.45e-01  -4.1 2.98e-03    -  1.00e+00 1.00e+00f  1
 149  1.9650951e+01 4.78e-06 7.67e-01  -4.1 4.68e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.9561269e+01 3.33e-06 5.53e-02  -4.1 4.24e-03    -  1.00e+00 1.00e+00f  1
 151  2.0502402e+01 6.44e-07 1.65e-01  -4.0 2.73e-03    -  1.00e+00 1.00e+00f  1
 152  1.9585219e+01 2.21e-06 3.24e-01  -4.1 3.99e-03    -  1.00e+00 1.00e+00f  1
 153  1.9546118e+01 8.82e-07 1.79e-01  -4.1 1.31e-03    -  1.00e+00 1.00e+00h  1
 154  2.0496414e+01 1.22e-06 9.15e-02  -4.0 3.05e-03    -  1.00e+00 1.00e+00f  1
 155  1.9558505e+01 2.96e-06 5.57e-01  -4.1 4.81e-03    -  1.00e+00 1.00e+00f  1
 156  1.9541353e+01 6.61e-07 2.02e-01  -4.1 1.35e-03    -  1.00e+00 1.00e+00h  1
